Skiclub,state_data,region_data,Resort,rank,rating,location_country,elevation_top_m,elevation_difference_m,total_slope_length_km,number_of_lifts,number_of_slopes,annual_snowfall_cm,Price,Season,Highest point,Lowest point,Beginner slopes,Intermediate slopes,Difficult slopes,Total slopes,Longest run,Snow cannons,Surface lifts,Chair lifts,Gondola lifts,Total lifts,Lift capacity,Child friendly,Snowparks,Nightskiing,Summer skiing
Team Summit Colorado,Colorado,Rocky Mountain,Copper Mountain,92,1059.2,USA,3792.0,832.0,126.0,24.0,126.0,625.0,89.0,November - April,3767.0,2926.0,30.0,40.0,56.0,126.0,0.0,0.0,7.0,15.0,1.0,23.0,29084.0,Yes,Yes,No,No
Killington Mountain School,Vermont,Northeast,Killington,140,1033.4,USA,1293.0,938.0,118.0,22.0,68.0,560.0,90.0,November - May,1285.0,355.0,37.0,43.0,46.0,126.0,9.0,1500.0,5.0,15.0,3.0,23.0,41660.0,Yes,Yes,No,No
Sierra at Tahoe,California,Pacific Southwest,Sierra-at-Tahoe,364,980.7,USA,2698.0,674.0,46.0,14.0,3.0,900.0,,,,,,,,,,,,,,,,,,,
WyEast Mountain Academy,Oregon,Pacific Northwest,Mt. Hood Meadows,194,1018.7,USA,2225.0,847.0,90.0,12.0,50.0,1200.0,76.0,November - April,2225.0,1378.0,13.0,45.0,31.0,89.0,4.0,0.0,0.0,11.0,0.0,11.0,20603.0,Yes,Yes,Yes,No
Sun Valley Ski Education Fnd,Idaho,Pacific Northwest,Sun Valley Resort,696,933.9,Japan,1560.0,169.0,1.8,1.0,3.0,400.0,107.0,December - April,2788.0,1752.0,35.0,40.0,17.0,92.0,0.0,0.0,1.0,12.0,1.0,14.0,24500.0,Yes,No,No,No
Crested Butte Mtn Sports Team,Colorado,Rocky Mountain,Crested Butte,192,1019.2,USA,3620.0,846.0,121.0,12.0,3.0,700.0,98.0,November - April,3707.0,2774.0,27.0,69.0,25.0,121.0,0.0,0.0,5.0,10.0,0.0,15.0,19717.0,Yes,Yes,No,No
Ski and Snowboard Club Vail,Colorado,Rocky Mountain,Beaver Creek,41,1101.9,USA,3488.0,1233.0,150.0,25.0,47.0,752.0,141.0,November - April,3488.0,2255.0,28.0,64.0,57.0,149.0,4.0,0.0,8.0,13.0,3.0,24.0,38200.0,Yes,Yes,No,No
Mammoth Mountain Ski and Snowboard Team,California,Pacific Southwest,Mammoth Mountain,61,1081.4,USA,3369.0,945.0,89.8,25.0,50.0,1000.0,114.0,November - June,3369.0,2424.0,18.0,48.0,22.0,88.0,6.0,120.0,9.0,22.0,3.0,34.0,54830.0,Yes,Yes,No,No
Winter Park competition center,Colorado,Rocky Mountain,Winter Park Resort,55,1085.6,USA,3676.0,933.0,143.0,25.0,39.0,760.0,119.0,November - April,3676.0,2743.0,11.0,53.0,79.0,143.0,7.0,36.0,5.0,19.0,1.0,25.0,41130.0,Yes,Yes,No,No
Telluride Ski and Snowboard Club,Colorado,Rocky Mountain,Telluride,73,1072.6,USA,3815.0,1155.0,88.2,19.0,88.0,760.0,110.0,November - April,3815.0,2659.0,6.0,51.0,29.0,86.0,7.0,0.0,4.0,11.0,5.0,20.0,22638.0,Yes,Yes,No,No
Park City Ski and Snowboard,Utah,Rocky Mountain,Park City,18,1133.9,USA,3048.0,975.0,250.0,42.0,213.0,900.0,97.0,November - April,3049.0,2080.0,27.0,152.0,71.0,250.0,4.0,480.0,5.0,32.0,4.0,41.0,76110.0,Yes,Yes,Yes,No
Aspen Valley Ski and Snowboard Club,Colorado,Rocky Mountain,Aspen Mountain,66,1078.3,USA,3418.0,996.0,103.0,9.0,57.0,762.0,124.0,November - April,3418.0,2422.0,0.0,49.0,54.0,103.0,4.0,0.0,0.0,7.0,1.0,8.0,13400.0,Yes,No,No,No
Waterville Valley Bbts,New Hampshire,Northeast,Waterville Valley,792,925.9,USA,1220.0,615.0,25.0,9.0,3.0,300.0,,,,,,,,,,,,,,,,,,,
Mt Bachelor Ski Education Foundation,Oregon,Pacific Northwest,Mt. Bachelor,90,1060.3,USA,2763.0,1026.0,99.0,15.0,34.0,983.0,79.0,November - May,2763.0,1737.0,15.0,25.0,60.0,100.0,4.0,0.0,2.0,11.0,0.0,13.0,25900.0,Yes,Yes,No,No
Okemo Mountain School,Vermont,Northeast,Okemo,374,979.5,USA,1019.0,671.0,70.0,20.0,51.0,350.0,86.0,November - April,1019.0,348.0,22.0,26.0,22.0,70.0,0.0,0.0,7.0,13.0,0.0,20.0,29050.0,Yes,Yes,Yes,No
Vail Development Team,Colorado,Rocky Mountain,Vail,52,1091.2,USA,3527.0,1070.0,234.0,34.0,150.0,750.0,127.0,November - April,3433.0,2457.0,57.0,84.0,93.0,234.0,6.0,0.0,9.0,20.0,2.0,31.0,54858.0,Yes,Yes,No,No
Olympic Valley Freestyle Freeride Team,California,Pacific Southwest,Palisades Tahoe,11,1147.8,USA,2745.0,855.0,200.0,43.0,43.0,1194.0,102.0,November - April,2760.0,1890.0,25.0,45.0,30.0,100.0,5.0,0.0,6.0,21.0,2.0,29.0,42932.0,Yes,Yes,Yes,No
Northstar Ski and Snowboard Team,California,Pacific Southwest,Northstar California,79,1067.9,USA,2624.0,695.0,97.0,19.0,27.0,900.0,120.0,November - April,2624.0,1929.0,25.0,45.0,27.0,97.0,4.0,0.0,7.0,10.0,3.0,20.0,28002.0,Yes,Yes,No,No
Missoula Freestyle Ski Team,Montana,Rocky Mountain,Montana Snowbowl,917,916.4,USA,2316.0,793.0,31.0,6.0,31.0,300.0,,,,,,,,,,,,,,,,,,,
