CompetitorID,Competitorname,HPpos,HPpoints,Nationcode,Gender,InstagramHandle,FollowerCount,DateChecked,Sponsors,SponsorCount,Skiclub
163159,FERREIRA Alex,1.0,1000.0,USA,M,@alexferreiraski,64585,2024-10-19,"POC, Volkl, Marker, Dalbello, Level  Gloves, Rockstar Energy, Columbia Sportswear, USANA, Aspen Snowmass, The W Aspen Hotel, The Snowmass Mountain Club ",11,Aspen Valley Ski and Snowboard Club
190662,IRVING Birk,2.0,1000.0,USA,M,@birkirving,50884,2024-10-19,"Tyrolia, K2, Smith, Full Tilt, Red Bull, Winter Park Resort",6,Winter Park Competition Center
186707,HESS Hunter,6.0,826.4,USA,M,@hunterhess10,27865,2024-10-19,"Marker, Volkl, Dalbello, Dragon Alliance",4,Mt Bachelor Ski Education Foundation
169927,BLUNCK Aaron,15.0,399.6,USA,M,@aaronblunck,23992,2024-10-19,"Head, POC, Rockstar Energy, Toyota",4,Crested Butte Mtn Sports Team
236601,GEISER Nick,30.0,180.95,USA,M,@nickgeiser1,2236,2024-10-19,"Giro, Monster Army ",2,Aspen Valley Ski and Snowboard Club
234610,FAULHABER Hanna,4.0,834.7,USA,W,@hanna_faulhaber,5585,2024-10-19,"Auclair, Volkl, Giro, Dalbello, Marker, Kappa, Monster Energy, Toyota, Aspen Snowmass, USANA",10,Aspen Valley ski and Snowboard Club
213604,IRVING Svea,8.0,606.5,USA,W,@sveairving,7171,2024-10-19,"K2, Smith, FlyLow Gear, Monster Army , Winter Park Resort",5,Winter Park Competition Center
224238,JACOBS Riley,9.0,543.1,USA,W,@flying_riley_jacobs,1108,2024-10-19,"Shred, Monster Energy",2,Vail Development Team
249251,GRAY Kathryn,13.0,362.85,USA,W,@_kate_gray,1413,2024-10-19,No Sponsor,0,Mammoth Mountain Ski and Snowboard Team
257311,ARNOLD Piper,17.0,215.35,USA,W,@pipe_dog,3179,2024-10-19,"Volkl, Marker, Dalbello, Oakley, FlyLow Gear",5,Sierra at Tahoe
