Skiclub,state_data,region_data,resort
Team Summit Colorado,Colorado,Rocky Mountain,Copper Mountain Resort
Killington Mountain School,Vermont,Northeast,Killington Resort
Sierra at Tahoe,California,Pacific Southwest,Sierra-at-Tahoe
WyEast Mountain Academy,Oregon,Pacific Northwest,Mt. Hood Meadows
Sun Valley Ski Education Fnd,Idaho,Pacific Northwest,Sun Valley Resort
Crested Butte Mtn Sports Team,Colorado,Rocky Mountain,Crested Butte Mountain Resort
Ski and Snowboard Club Vail,Colorado,Rocky Mountain,"Vail Mountain, Beaver Creek Resort"
Mammoth Mountain Ski and Snowboard Team,California,Pacific Southwest,Mammoth Mountain Ski Area
Winter Park competition center,Colorado,Rocky Mountain,Winter Park Resort
Telluride Ski and Snowboard Club,Colorado,Rocky Mountain,Telluride Ski & Golf Resort
Park City Ski and Snowboard,Utah,Rocky Mountain,Park City Mountain Resort
Aspen Valley Ski and Snowboard Club,Colorado,Rocky Mountain,Aspen Mountain
Waterville Valley Bbts,New Hampshire,Northeast,Waterville Valley Resort
Mt Bachelor Ski Education Foundation,Oregon,Pacific Northwest,Mt. Bachelor LLC
Okemo Mountain School,Vermont,Northeast,Okemo Mountain Resort
Winter Park Competition Center,Colorado,Rocky Mountain,Winter Park Resort
Vail Development Team,Colorado,Rocky Mountain,Vail Mountain
Olympic Valley Freestyle Freeride Team,California,Pacific Southwest,Squaw Valley / Alpine Meadows
Summit Action Sports,Colorado,Rocky Mountain,Mobile
Northstar Ski and Snowboard Team,California,Pacific Southwest,Northstar California
Missoula Freestyle Ski Team,Montana,Rocky Mountain,Montana Snowbowl
