CompetitorID,Sponsor Title
163159,"POC, Volkl, Marker, Dalbello, Level  Gloves, Rockstar Energy, Columbia Sportswear, USANA, Aspen Snowmass, The W Aspen Hotel, The Snowmass Mountain Club "
169927,"Head, POC, Rockstar Energy, Toyota"
186707,"Marker, Volkl, Dalbello, Dragon Alliance"
190662,"Tyrolia, K2, Smith, Full Tilt, Red Bull, Winter Park Resort"
213604,"K2, Smith, FlyLow Gear, Monster Army , Winter Park Resort"
224238,"Shred, Monster Energy"
234610,"Auclair, Volkl, Giro, Dalbello, Marker, Kappa, Monster Energy, Toyota, Aspen Snowmass, USANA"
236601,"Giro, Monster Army "
249251,No Sponsor
257311,"Volkl, Marker, Dalbello, Oakley, FlyLow Gear"
